n;Driver;DriverNumber;LapNumber;Stint;SpeedI1;SpeedI2;SpeedFL;SpeedST;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;TrackStatus;Position;Deleted;DeletedReason;LapTimeSeconds;PitOutTimeSeconds;PitInTimeSeconds;Sector1TimeSeconds;Sector2TimeSeconds;Sector3TimeSeconds;LapStartTimeSinceStartSeconds;LapEndTimeSinceStartSeconds;Sector1TimeSinceStartSeconds;Sector2TimeSinceStartSeconds;Sector3TimeSinceStartSeconds
0;VER;1;1;1;263;261;280;280;False;SOFT;4;False;Red Bull Racing;1;2;False;;83,696;;;;32,318;24,013;0;83,951;;60,112;84,253
1;VER;1;2;1;257;269;286;303;True;SOFT;5;False;Red Bull Racing;1;2;False;;80,083;;;24,125;32,278;23,68;83,951;164,034;108,091;140,369;164,049
2;VER;1;3;1;248;262;280;328;False;SOFT;6;False;Red Bull Racing;1;2;False;;80,537;;;23,816;32,561;24,16;164,034;244,571;187,865;220,426;244,586
3;VER;1;4;1;246;254;280;302;False;SOFT;7;False;Red Bull Racing;1;2;False;;81,032;;;24,299;32,612;24,121;244,571;325,603;268,885;301,497;325,618
4;VER;1;5;1;262;265;281;;False;SOFT;8;False;Red Bull Racing;1;2;False;;80,964;;;24,223;32,561;24,18;325,603;406,567;349,841;382,402;406,582
5;VER;1;6;1;;265;280;305;False;SOFT;9;False;Red Bull Racing;1;2;False;;80,822;;;23,966;32,687;24,169;406,567;487,389;430,548;463,235;487,404
6;VER;1;7;1;268;264;280;306;False;SOFT;10;False;Red Bull Racing;1;2;False;;80,76;;;23,968;32,52;24,272;487,389;568,149;511,372;543,892;568,164
7;VER;1;8;1;265;270;280;304;False;SOFT;11;False;Red Bull Racing;1;2;False;;81,019;;;24,105;32,719;24,195;568,149;649,168;592,269;624,988;649,183
8;VER;1;9;1;263;270;279;307;False;SOFT;12;False;Red Bull Racing;1;2;False;;81,168;;;24,033;32,833;24,302;649,168;730,336;673,216;706,049;730,351
9;VER;1;10;1;264;266;281;;False;SOFT;13;False;Red Bull Racing;1;2;False;;81,163;;;24,018;32,814;24,331;730,336;811,499;754,369;787,183;811,514
